MGYA00454601	ERZ1284728
MGYA00241238	ERZ501455
MGYA00241070	ERZ501456
MGYA00241239	ERZ501457
MGYA00241071	ERZ501458
MGYA00241072	ERZ501459
MGYA00241240	ERZ501460
MGYA00241073	ERZ501461
MGYA00241241	ERZ501462
MGYA00241074	ERZ501463
MGYA00241242	ERZ501464
MGYA00241243	ERZ501465
MGYA00241075	ERZ501466
MGYA00241558	ERZ501467
MGYA00241076	ERZ501468
MGYA00241559	ERZ501469
MGYA00241077	ERZ501470
MGYA00241560	ERZ501471
MGYA00241078	ERZ501472
MGYA00241561	ERZ501473
MGYA00241247	ERZ501474
MGYA00241562	ERZ501475
MGYA00241248	ERZ501476
MGYA00241563	ERZ501477
MGYA00241249	ERZ501478
MGYA00241564	ERZ501479
MGYA00241250	ERZ501480
MGYA00241565	ERZ501481
MGYA00241251	ERZ501482
MGYA00241566	ERZ501483
MGYA00241252	ERZ501484
MGYA00241567	ERZ501485
MGYA00241253	ERZ501486
MGYA00241568	ERZ501487
MGYA00241254	ERZ501488
MGYA00241569	ERZ501489
MGYA00241255	ERZ501490
MGYA00241570	ERZ501491
MGYA00241256	ERZ501492
MGYA00241571	ERZ501493
MGYA00241257	ERZ501494
MGYA00241572	ERZ501495
MGYA00241258	ERZ501496
MGYA00241573	ERZ501497
MGYA00241259	ERZ501498
MGYA00241574	ERZ501499
MGYA00241260	ERZ501500
MGYA00241575	ERZ501501
MGYA00241261	ERZ501502
MGYA00241620	ERZ501503
MGYA00241262	ERZ501504
MGYA00241621	ERZ501505
MGYA00241263	ERZ501506
MGYA00241622	ERZ501507
MGYA00241264	ERZ501508
MGYA00241623	ERZ501509
MGYA00241265	ERZ501510
MGYA00241289	ERZ501512
MGYA00241626	ERZ501515
MGYA00241291	ERZ501516
MGYA00241627	ERZ501517
MGYA00241292	ERZ501518
MGYA00241628	ERZ501519
MGYA00241293	ERZ501520
MGYA00241629	ERZ501521
MGYA00241294	ERZ501522
MGYA00241630	ERZ501523
MGYA00241295	ERZ501524
MGYA00241631	ERZ501525
MGYA00241296	ERZ501526
MGYA00241632	ERZ501527
MGYA00241297	ERZ501528
MGYA00241633	ERZ501529
MGYA00241298	ERZ501530
MGYA00241634	ERZ501531
MGYA00241299	ERZ501532
MGYA00241635	ERZ501533
MGYA00241300	ERZ501534
MGYA00241636	ERZ501535
MGYA00241301	ERZ501536
MGYA00241637	ERZ501537
MGYA00241638	ERZ501539
MGYA00241303	ERZ501540
MGYA00241639	ERZ501541
MGYA00241304	ERZ501542
MGYA00241640	ERZ501543
MGYA00241305	ERZ501544
MGYA00241641	ERZ501545
MGYA00241306	ERZ501546
MGYA00241708	ERZ501547
MGYA00241307	ERZ501548
MGYA00241709	ERZ501549
MGYA00241308	ERZ501550
MGYA00241710	ERZ501551
MGYA00241309	ERZ501552
MGYA00241711	ERZ501553
MGYA00241310	ERZ501554
MGYA00241712	ERZ501555
MGYA00241333	ERZ501556
MGYA00241334	ERZ501557
MGYA00241713	ERZ501558
MGYA00241335	ERZ501559
MGYA00241714	ERZ501560
MGYA00241336	ERZ501561
MGYA00241715	ERZ501562
MGYA00241716	ERZ501563
MGYA00241337	ERZ501564
MGYA00241717	ERZ501565
MGYA00241338	ERZ501566
MGYA00241718	ERZ501567
MGYA00241339	ERZ501568
MGYA00241719	ERZ501569
MGYA00241340	ERZ501570
MGYA00241720	ERZ501571
MGYA00241341	ERZ501572
MGYA00241721	ERZ501573
MGYA00241342	ERZ501574
MGYA00241722	ERZ501575
MGYA00241343	ERZ501576
MGYA00241723	ERZ501577
MGYA00241344	ERZ501578
MGYA00241724	ERZ501579
MGYA00241345	ERZ501580
MGYA00241642	ERZ501581
MGYA00241346	ERZ501582
MGYA00241643	ERZ501583
MGYA00241347	ERZ501584
MGYA00241644	ERZ501585
MGYA00241348	ERZ501586
MGYA00241645	ERZ501587
MGYA00241349	ERZ501588
MGYA00241646	ERZ501589
MGYA00241350	ERZ501590
MGYA00241647	ERZ501591
MGYA00241351	ERZ501592
MGYA00241648	ERZ501593
MGYA00241352	ERZ501594
MGYA00241649	ERZ501595
MGYA00241353	ERZ501596
MGYA00241650	ERZ501597
MGYA00241354	ERZ501598
MGYA00241651	ERZ501599
MGYA00241652	ERZ501601
MGYA00241378	ERZ501602
MGYA00241653	ERZ501603
MGYA00241379	ERZ501604
MGYA00241654	ERZ501605
MGYA00241380	ERZ501606
MGYA00241655	ERZ501607
MGYA00241381	ERZ501608
MGYA00241382	ERZ501610
MGYA00241657	ERZ501611
MGYA00241383	ERZ501612
MGYA00241658	ERZ501613
MGYA00241384	ERZ501614
MGYA00241659	ERZ501615
MGYA00241386	ERZ501618
MGYA00241661	ERZ501619
MGYA00241387	ERZ501620
MGYA00241662	ERZ501621
MGYA00241388	ERZ501622
MGYA00241390	ERZ501626
MGYA00241726	ERZ501627
MGYA00241391	ERZ501628
MGYA00241727	ERZ501629
MGYA00241392	ERZ501630
MGYA00241728	ERZ501631
MGYA00241393	ERZ501632
MGYA00241729	ERZ501633
MGYA00241394	ERZ501634
MGYA00241730	ERZ501635
MGYA00241395	ERZ501636
MGYA00241731	ERZ501637
MGYA00241396	ERZ501638
MGYA00241397	ERZ501640
MGYA00241732	ERZ501641
MGYA00241398	ERZ501642
MGYA00241733	ERZ501643
MGYA00241407	ERZ501644
MGYA00241734	ERZ501645
MGYA00241408	ERZ501646
MGYA00241735	ERZ501647
MGYA00241409	ERZ501648
MGYA00241736	ERZ501649
MGYA00241410	ERZ501650
MGYA00241737	ERZ501651
MGYA00241411	ERZ501652
MGYA00241738	ERZ501653
MGYA00241412	ERZ501654
MGYA00241739	ERZ501655
MGYA00241413	ERZ501656
MGYA00241414	ERZ501657
MGYA00241740	ERZ501658
MGYA00241415	ERZ501659
MGYA00241741	ERZ501660
MGYA00241416	ERZ501661
MGYA00241742	ERZ501663
MGYA00241417	ERZ501664
MGYA00241743	ERZ501665
MGYA00241418	ERZ501666
MGYA00241744	ERZ501667
MGYA00241419	ERZ501668
MGYA00241772	ERZ501669
MGYA00241420	ERZ501670
MGYA00241773	ERZ501671
MGYA00241421	ERZ501672
MGYA00241774	ERZ501673
MGYA00241422	ERZ501674
MGYA00241775	ERZ501675
MGYA00241423	ERZ501676
MGYA00241776	ERZ501677
MGYA00241424	ERZ501678
MGYA00241777	ERZ501679
MGYA00241425	ERZ501680
MGYA00241778	ERZ501681
MGYA00241426	ERZ501682
MGYA00241427	ERZ501684
MGYA00241779	ERZ501685
MGYA00241428	ERZ501686
MGYA00241780	ERZ501687
MGYA00241429	ERZ501688
MGYA00241781	ERZ501689
MGYA00241430	ERZ501690
MGYA00241782	ERZ501691
MGYA00241431	ERZ501692
MGYA00241783	ERZ501693
MGYA00241784	ERZ501695
MGYA00241433	ERZ501696
MGYA00241785	ERZ501697
MGYA00241786	ERZ501699
MGYA00241434	ERZ501700
MGYA00241787	ERZ501701
MGYA00241435	ERZ501702
MGYA00241788	ERZ501703
MGYA00241436	ERZ501704
MGYA00241789	ERZ501705
MGYA00241437	ERZ501706
MGYA00241790	ERZ501707
MGYA00241438	ERZ501708
MGYA00241791	ERZ501709
MGYA00241439	ERZ501710
MGYA00241792	ERZ501711
MGYA00241440	ERZ501712
MGYA00241441	ERZ501714
MGYA00241815	ERZ501715
MGYA00241442	ERZ501716
MGYA00241816	ERZ501717
MGYA00241443	ERZ501718
MGYA00241817	ERZ501719
MGYA00241444	ERZ501720
MGYA00241818	ERZ501721
MGYA00241445	ERZ501722
MGYA00241819	ERZ501723
MGYA00241446	ERZ501724
MGYA00241820	ERZ501725
MGYA00241447	ERZ501726
MGYA00241821	ERZ501727
MGYA00241448	ERZ501728
MGYA00241822	ERZ501729
MGYA00241449	ERZ501730
MGYA00241823	ERZ501731
MGYA00240999	ERZ501732
MGYA00241824	ERZ501733
MGYA00241000	ERZ501734
MGYA00241825	ERZ501735
MGYA00241001	ERZ501736
MGYA00241826	ERZ501737
MGYA00241002	ERZ501738
MGYA00241827	ERZ501739
MGYA00241003	ERZ501740
MGYA00241522	ERZ501741
MGYA00241004	ERZ501742
MGYA00241523	ERZ501743
MGYA00241005	ERZ501744
MGYA00241524	ERZ501745
MGYA00241006	ERZ501746
MGYA00241525	ERZ501747
MGYA00241007	ERZ501748
MGYA00241526	ERZ501749
MGYA00241008	ERZ501750
MGYA00241527	ERZ501751
MGYA00241009	ERZ501752
MGYA00241010	ERZ501753
MGYA00241528	ERZ501754
MGYA00241011	ERZ501755
MGYA00241529	ERZ501756
MGYA00241012	ERZ501757
MGYA00241530	ERZ501758
MGYA00241531	ERZ501759
MGYA00241013	ERZ501760
MGYA00241532	ERZ501761
MGYA00241014	ERZ501762
MGYA00241533	ERZ501763
MGYA00241015	ERZ501764
MGYA00241534	ERZ501765
MGYA00241016	ERZ501766
MGYA00241535	ERZ501767
MGYA00241017	ERZ501768
MGYA00241536	ERZ501769
MGYA00241018	ERZ501770
MGYA00241537	ERZ501771
MGYA00241019	ERZ501772
MGYA00241538	ERZ501773
MGYA00241020	ERZ501774
MGYA00241539	ERZ501775
MGYA00241021	ERZ501776
MGYA00241540	ERZ501777
MGYA00241022	ERZ501778
MGYA00241541	ERZ501779
MGYA00241023	ERZ501780
MGYA00241542	ERZ501781
MGYA00241024	ERZ501782
MGYA00241543	ERZ501783
MGYA00241025	ERZ501784
MGYA00241596	ERZ501785
MGYA00241026	ERZ501786
MGYA00241597	ERZ501787
MGYA00241027	ERZ501788
MGYA00241664	ERZ501789
MGYA00241028	ERZ501790
MGYA00241665	ERZ501791
MGYA00241029	ERZ501792
MGYA00241666	ERZ501793
MGYA00241030	ERZ501794
MGYA00241667	ERZ501795
MGYA00241031	ERZ501796
MGYA00241668	ERZ501797
MGYA00241032	ERZ501798
MGYA00241669	ERZ501799
MGYA00241033	ERZ501800
MGYA00241670	ERZ501801
MGYA00241034	ERZ501802
MGYA00241671	ERZ501803
MGYA00241855	ERZ501804
MGYA00241672	ERZ501805
MGYA00241856	ERZ501806
MGYA00241673	ERZ501807
MGYA00241857	ERZ501808
MGYA00241674	ERZ501809
MGYA00241858	ERZ501810
MGYA00241675	ERZ501811
MGYA00241859	ERZ501812
MGYA00241676	ERZ501813
MGYA00241860	ERZ501814
MGYA00241677	ERZ501815
MGYA00241861	ERZ501816
MGYA00241678	ERZ501817
MGYA00241862	ERZ501818
MGYA00241679	ERZ501819
MGYA00241863	ERZ501820
MGYA00241680	ERZ501821
MGYA00241864	ERZ501822
MGYA00241681	ERZ501823
MGYA00241865	ERZ501824
MGYA00241682	ERZ501825
MGYA00241866	ERZ501826
MGYA00241683	ERZ501827
MGYA00241867	ERZ501828
MGYA00241684	ERZ501829
MGYA00241868	ERZ501830
MGYA00241685	ERZ501831
MGYA00241869	ERZ501832
MGYA00241745	ERZ501833
MGYA00241870	ERZ501834
MGYA00241746	ERZ501835
MGYA00241871	ERZ501836
MGYA00241747	ERZ501837
MGYA00241872	ERZ501838
MGYA00241748	ERZ501839
MGYA00241873	ERZ501840
MGYA00241749	ERZ501841
MGYA00241874	ERZ501842
MGYA00241750	ERZ501843
MGYA00241875	ERZ501844
MGYA00241751	ERZ501845
MGYA00241876	ERZ501846
MGYA00241877	ERZ501847
MGYA00241752	ERZ501848
MGYA00241878	ERZ501849
MGYA00241753	ERZ501850
MGYA00241879	ERZ501851
MGYA00241754	ERZ501852
MGYA00241755	ERZ501853
MGYA00241880	ERZ501854
MGYA00241756	ERZ501855
MGYA00241881	ERZ501856
MGYA00241757	ERZ501857
MGYA00241882	ERZ501858
MGYA00241758	ERZ501859
MGYA00241883	ERZ501860
MGYA00241759	ERZ501861
MGYA00241884	ERZ501862
MGYA00241760	ERZ501863
MGYA00241885	ERZ501864
MGYA00241761	ERZ501865
MGYA00241886	ERZ501866
MGYA00241762	ERZ501867
MGYA00241887	ERZ501868
MGYA00241763	ERZ501869
MGYA00241888	ERZ501870
MGYA00241764	ERZ501871
MGYA00241889	ERZ501872
MGYA00241765	ERZ501873
MGYA00241890	ERZ501874
MGYA00241766	ERZ501875
MGYA00241891	ERZ501876
MGYA00241793	ERZ501877
MGYA00241892	ERZ501878
MGYA00241794	ERZ501879
MGYA00241893	ERZ501880
MGYA00241795	ERZ501881
MGYA00241894	ERZ501882
MGYA00241796	ERZ501883
MGYA00241895	ERZ501884
MGYA00241797	ERZ501885
MGYA00241896	ERZ501886
MGYA00241798	ERZ501887
MGYA00241897	ERZ501888
MGYA00241799	ERZ501889
MGYA00241898	ERZ501890
MGYA00241800	ERZ501891
MGYA00241450	ERZ501892
MGYA00241801	ERZ501893
MGYA00241451	ERZ501894
MGYA00241802	ERZ501895
MGYA00241452	ERZ501896
MGYA00241803	ERZ501897
MGYA00241453	ERZ501898
MGYA00241804	ERZ501899
MGYA00241454	ERZ501900
MGYA00241805	ERZ501901
MGYA00241455	ERZ501902
MGYA00241806	ERZ501903
MGYA00241456	ERZ501904
MGYA00241807	ERZ501905
MGYA00241457	ERZ501906
MGYA00241808	ERZ501907
MGYA00241458	ERZ501908
MGYA00241809	ERZ501909
MGYA00241459	ERZ501910
MGYA00241810	ERZ501911
MGYA00241460	ERZ501912
MGYA00241811	ERZ501913
MGYA00241461	ERZ501914
MGYA00241812	ERZ501915
MGYA00241462	ERZ501916
MGYA00241813	ERZ501917
MGYA00241463	ERZ501918
MGYA00241814	ERZ501919
MGYA00241464	ERZ501920
MGYA00241828	ERZ501921
MGYA00241465	ERZ501922
MGYA00241829	ERZ501923
MGYA00241466	ERZ501924
MGYA00241830	ERZ501925
MGYA00241832	ERZ501929
MGYA00241833	ERZ501931
MGYA00241834	ERZ501933
MGYA00241471	ERZ501934
MGYA00241836	ERZ501937
MGYA00241473	ERZ501938
MGYA00241474	ERZ501939
MGYA00241475	ERZ501941
MGYA00241838	ERZ501942
MGYA00241839	ERZ501944
MGYA00241477	ERZ501946
MGYA00241841	ERZ501947
MGYA00241478	ERZ501948
MGYA00241842	ERZ501949
MGYA00241479	ERZ501950
MGYA00241843	ERZ501951
MGYA00241480	ERZ501952
MGYA00241844	ERZ501953
MGYA00241481	ERZ501954
MGYA00241845	ERZ501955
MGYA00241482	ERZ501956
MGYA00241846	ERZ501957
MGYA00241483	ERZ501958
MGYA00241847	ERZ501959
MGYA00241484	ERZ501960
MGYA00241848	ERZ501961
MGYA00241485	ERZ501962
MGYA00241849	ERZ501963
MGYA00241486	ERZ501964
MGYA00241850	ERZ501965
MGYA00241487	ERZ501966
MGYA00241851	ERZ501967
MGYA00241488	ERZ501968
MGYA00241852	ERZ501969
MGYA00241489	ERZ501970
MGYA00241853	ERZ501971
MGYA00241490	ERZ501972
MGYA00241854	ERZ501973
MGYA00241491	ERZ501974
MGYA00241093	ERZ501975
MGYA00241492	ERZ501976
MGYA00241094	ERZ501977
MGYA00241493	ERZ501978
MGYA00241095	ERZ501979
MGYA00241494	ERZ501980
MGYA00241096	ERZ501981
MGYA00241495	ERZ501982
MGYA00241097	ERZ501983
MGYA00241496	ERZ501984
MGYA00241098	ERZ501985
MGYA00241497	ERZ501986
MGYA00241099	ERZ501987
MGYA00241498	ERZ501988
MGYA00241100	ERZ501989
MGYA00241499	ERZ501990
MGYA00241101	ERZ501991
MGYA00241500	ERZ501992
MGYA00241102	ERZ501993
MGYA00241501	ERZ501994
MGYA00241103	ERZ501995
MGYA00241502	ERZ501996
MGYA00241104	ERZ501997
MGYA00241503	ERZ501998
MGYA00241105	ERZ501999
MGYA00241504	ERZ502000
MGYA00241106	ERZ502001
MGYA00241107	ERZ502003
MGYA00241506	ERZ502004
MGYA00241108	ERZ502005
MGYA00241507	ERZ502006
MGYA00241109	ERZ502007
MGYA00241508	ERZ502008
MGYA00241110	ERZ502009
MGYA00241509	ERZ502010
MGYA00241111	ERZ502011
MGYA00241510	ERZ502012
MGYA00241112	ERZ502013
MGYA00241113	ERZ502015
MGYA00241512	ERZ502016
MGYA00241114	ERZ502017
MGYA00241513	ERZ502018
MGYA00241115	ERZ502019
MGYA00241514	ERZ502020
MGYA00241116	ERZ502021
MGYA00241515	ERZ502022
MGYA00241117	ERZ502023
MGYA00241516	ERZ502024
MGYA00241118	ERZ502025
MGYA00241517	ERZ502026
MGYA00241119	ERZ502027
MGYA00241518	ERZ502028
MGYA00241120	ERZ502029
MGYA00241519	ERZ502030
MGYA00241121	ERZ502031
MGYA00241520	ERZ502032
MGYA00241122	ERZ502033
MGYA00241521	ERZ502034
MGYA00241707	ERZ502035
MGYA00241139	ERZ502036
MGYA00241767	ERZ502037
MGYA00241140	ERZ502038
MGYA00241768	ERZ502039
MGYA00241141	ERZ502040
MGYA00241142	ERZ502041
MGYA00241769	ERZ502042
MGYA00241143	ERZ502043
MGYA00241770	ERZ502044
MGYA00241771	ERZ502046
MGYA00242470	ERZ504477
MGYA00242635	ERZ504478
MGYA00242471	ERZ504479
MGYA00242636	ERZ504480
MGYA00242472	ERZ504481
MGYA00242637	ERZ504482
MGYA00242473	ERZ504483
MGYA00242474	ERZ504485
MGYA00242639	ERZ504486
MGYA00242662	ERZ504490
MGYA00242477	ERZ504491
MGYA00242663	ERZ504492
MGYA00242478	ERZ504493
MGYA00242664	ERZ504494
MGYA00242479	ERZ504495
MGYA00242665	ERZ504496
MGYA00242666	ERZ504498
MGYA00242667	ERZ504500
MGYA00242482	ERZ504501
MGYA00242668	ERZ504502
MGYA00242483	ERZ504503
MGYA00242669	ERZ504504
MGYA00242484	ERZ504505
MGYA00242670	ERZ504506
MGYA00242485	ERZ504507
MGYA00242486	ERZ504509
MGYA00242672	ERZ504510
MGYA00242487	ERZ504511
MGYA00242673	ERZ504512
MGYA00242488	ERZ504513
MGYA00242674	ERZ504514
MGYA00242489	ERZ504515
MGYA00242675	ERZ504516
MGYA00242490	ERZ504517
MGYA00242676	ERZ504518
MGYA00242491	ERZ504519
MGYA00242677	ERZ504520
MGYA00242678	ERZ504522
MGYA00242733	ERZ504523
MGYA00242734	ERZ504525
MGYA00242680	ERZ504526
MGYA00242735	ERZ504527
MGYA00242681	ERZ504528
MGYA00242736	ERZ504529
MGYA00242682	ERZ504530
MGYA00242737	ERZ504531
MGYA00242695	ERZ504532
MGYA00242738	ERZ504533
MGYA00242696	ERZ504534
MGYA00242740	ERZ504537
MGYA00242741	ERZ504539
MGYA00242699	ERZ504540
MGYA00242700	ERZ504542
MGYA00242742	ERZ504543
MGYA00242701	ERZ504544
MGYA00242743	ERZ504545
